n_sites,t2,maxdim_schedule,nsweeps,cutoff,conserve_qns,num_sectors,laptop_seeds,perlmutter_seeds,laptop_total_wall_time_s,perlmutter_total_wall_time_s,total_speedup_perlmutter_vs_laptop,laptop_dmrg_wall_time_s,perlmutter_dmrg_wall_time_s,dmrg_speedup_perlmutter_vs_laptop,laptop_hamiltonian_build_wall_time_s,perlmutter_hamiltonian_build_wall_time_s,hamiltonian_speedup_perlmutter_vs_laptop,energies_match,max_abs_energy_diff
4,0.0,"20,50,100,200",4,1e-09,True,9,"401,402","401,402",83.042679625,77.973524807,1.0650112308061892,73.52823604000001,47.13432073999999,1.559972327714084,72.38468524800001,22.971665664,3.151042084050419,True,0.0
4,1.0,"20,50,100,200",4,1e-09,True,9,"401,402","401,402",1.05162675,77.991184867,0.013483918109378145,1.0415793309999999,47.112411396000006,0.02210838503351228,0.022895584,23.038849395,0.0009937815733527433,True,0.0
6,0.0,"20,50,100,200",4,1e-09,True,13,"401,402","401,402",10.297427375,5.211252947,1.9759983788405424,10.273703876999999,5.168922615000001,1.9875909628026025,0.118700748,0.033644637,3.5280733746659236,True,0.0
6,1.0,"20,50,100,200",4,1e-09,True,13,"401,402","401,402",68.799801166,48.474411402,1.4193014247339863,68.74891445700001,42.790869836,1.6066257760238725,16.458404332,5.6739101949999995,2.9007163959880056,True,0.0
8,0.0,"20,50,100,200",4,1e-09,True,17,"401,402","401,402",26.99811125,16.038218351,1.683360998032343,26.95623079,15.998106985000002,1.6849637782316653,0.038967416,0.026270586,1.4833097366004702,True,0.0
8,1.0,"20,50,100,200",4,1e-09,True,17,"401,402","401,402",43.293428708,16.232724833,2.6670463001989337,43.193791499,16.207809752000006,2.6649986740910494,0.045611,0.010678696,4.271214387973963,True,0.0
10,0.0,"20,50,100,200",4,1e-09,True,21,"401,402","401,402",78.912600125,42.244396097,1.868001614789423,78.78686924799999,42.193610111999995,1.8672701633935977,0.130645584,0.030894876999999998,4.228713517778369,True,0.0
10,1.0,"20,50,100,200",4,1e-09,True,21,"401,402","401,402",115.94690479299999,47.487051308,2.441653073823659,115.66405025099999,47.453267078,2.437430705474512,0.22722258199999998,0.011717316,19.392033294996907,True,0.0
12,0.0,"20,50,100,200",4,1e-09,True,25,"401,402","401,402",165.189351375,82.083529927,2.0124542831175654,164.95806000000002,82.02320146199999,2.0111146243959084,0.115882584,0.034967103000000006,3.314045890504569,True,0.0
12,1.0,"20,50,100,200",4,1e-09,True,25,"401,402","401,402",252.59743920900002,101.086238901,2.498831116433012,252.17289008300006,101.042309315,2.4957158223378446,0.071260084,0.015230279000000001,4.678842981143024,True,0.0
