[2025-10-05 22:36:57] INFO: Exact (n_sites=4, n_occ=0) = 0.0
[2025-10-05 22:36:57] INFO: Exact (n_sites=4, n_occ=1) = -2.0000000000000004
[2025-10-05 22:36:57] INFO: Exact (n_sites=4, n_occ=2) = -4.000000000000001
[2025-10-05 22:36:57] INFO: Exact (n_sites=4, n_occ=3) = -4.000000000000001
[2025-10-05 22:36:57] INFO: Exact (n_sites=4, n_occ=4) = -4.000000000000001
[2025-10-05 22:36:57] INFO: Exact (n_sites=4, n_occ=5) = -4.000000000000001
[2025-10-05 22:36:57] INFO: Exact (n_sites=4, n_occ=6) = -4.0
[2025-10-05 22:36:57] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 1) = -0.219970703125
[2025-10-05 22:36:57] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 1) = 0.50537109375
[2025-10-05 22:36:57] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 1) = 0.143310546875
[2025-10-05 22:36:57] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 1) = 0.05419921875
[2025-10-05 22:36:57] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 2) = 0.6005859375
[2025-10-05 22:36:57] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 2) = -0.431396484375
[2025-10-05 22:36:57] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 2) = -0.053466796875
[2025-10-05 22:36:57] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 2) = -0.125244140625
[2025-10-05 22:36:57] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 1) = -0.099853515625
[2025-10-05 22:36:57] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 3) = -0.2333984375
[2025-10-05 22:36:57] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 3) = -0.02490234375
[2025-10-05 22:36:57] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 3) = -0.02587890625
[2025-10-05 22:36:57] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 3) = -0.131103515625
[2025-10-05 22:36:57] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 1) = 0.26171875
[2025-10-05 22:36:57] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 2) = -0.020751953125
[2025-10-05 22:36:57] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 4) = -0.201904296875
[2025-10-05 22:36:57] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 1) = 0.06201171875
[2025-10-05 22:36:57] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 2) = 0.0341796875
[2025-10-05 22:36:57] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 4) = 0.140625
[2025-10-05 22:36:57] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 4) = 0.00830078125
[2025-10-05 22:36:57] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 4) = 0.181640625
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 5) = 0.074462890625
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 3) = -0.144775390625
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 2) = -0.142578125
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 5) = 0.118896484375
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 5) = 0.022705078125
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 3) = 0.795654296875
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 5) = -0.03564453125
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 3) = 0.4013671875
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 6) = 0.429931640625
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 4) = 0.690673828125
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 6) = -0.477294921875
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 6) = -0.003662109375
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 4) = 0.357177734375
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 6) = 0.22802734375
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 7) = -0.043701171875
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 5) = 0.18701171875
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 4) = -0.3779296875
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 7) = -0.1337890625
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 7) = -0.008544921875
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 5) = -0.158935546875
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 8) = -0.0888671875
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 6) = 0.217041015625
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 7) = -0.150634765625
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 8) = -0.578369140625
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 5) = 0.138427734375
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 8) = -0.011962890625
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 9) = 0.391845703125
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 8) = 0.559814453125
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 7) = 0.2666015625
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 9) = 0.51904296875
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 6) = 0.12060546875
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 9) = 0.01708984375
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 6) = -0.38916015625
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 10) = 0.189453125
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 10) = -0.161865234375
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 8) = -0.1005859375
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 9) = 0.172607421875
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 10) = -0.03173828125
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 7) = 0.538818359375
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 7) = 0.2314453125
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 9) = 0.3837890625
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 11) = -0.240478515625
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 11) = 0.282958984375
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 10) = 0.113525390625
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 11) = -0.003662109375
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 8) = 0.226318359375
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 10) = 0.057373046875
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 12) = 0.9287109375
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 8) = 0.05517578125
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 12) = -0.630615234375
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 9) = 0.372314453125
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 11) = 0.14013671875
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 12) = 0.039794921875
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 13) = 0.763671875
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 11) = -0.267822265625
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 9) = -0.37109375
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 13) = -0.7421875
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 10) = -0.087646484375
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 13) = -0.00390625
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 12) = 0.231201171875
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 14) = 0.08935546875
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 10) = 0.324462890625
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 12) = 0.077880859375
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 14) = 0.018310546875
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 13) = -0.219970703125
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 14) = 0.015380859375
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 11) = 0.339599609375
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 15) = -0.59912109375
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 11) = -0.12109375
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 15) = 0.110595703125
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 15) = 0.008056640625
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 13) = 0.367919921875
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 14) = -0.183837890625
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 12) = -0.031494140625
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 16) = 0.46142578125
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 16) = -0.6240234375
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 12) = -0.417724609375
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 14) = -0.165283203125
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 16) = 0.023193359375
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 15) = 0.1640625
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 17) = -0.47607421875
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 17) = -0.100830078125
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 13) = 0.871826171875
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 15) = 0.371337890625
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 17) = -0.02197265625
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 13) = 0.16552734375
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 16) = -0.074951171875
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 18) = -0.05615234375
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 18) = -0.991943359375
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 14) = -0.348388671875
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 14) = -0.191650390625
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 16) = -0.0791015625
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 18) = 0.006103515625
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 17) = -0.432861328125
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 19) = 0.832275390625
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 19) = 0.62353515625
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 15) = 0.323486328125
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=4, repetition 1, iteration 17) = 0.56396484375
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=6, repetition 1, iteration 15) = -0.110107421875
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=0, repetition 1, iteration 19) = 0.033935546875
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=3, repetition 1, iteration 18) = -0.264404296875
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=1, repetition 1, iteration 20) = -0.402099609375
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=5, repetition 1, iteration 16) = 0.619873046875
[2025-10-05 22:36:58] DEBUG: VQE (n_sites=4, n_occ=2, repetition 1, iteration 20) = -0.59033203125
